image_id,image_filename,image_path,subset,contains_oil,environment,annotation_filename,num_objects,width,height,source_scene,source_product,timestamp
nc-0001-00-000001,nc-0001-00-000001.jpg,images/nc-0001-00-000001.jpg,nc,0,coast,,0,640,640,S1_20190105_154746_154926_VV_86,S1B_IW_GRDH_1SDV_20190105T154901_20190105T154926_014361_01AB8D_D7A0.SAFE,2019-01-05T15:47:46
nc-0002-00-000002,nc-0002-00-000002.jpg,images/nc-0002-00-000002.jpg,nc,0,coast,,0,640,640,S1_20190118_035040_035219_VV_89,S1B_IW_GRDH_1SDV_20190118T035130_20190118T035155_014543_01B170_BFCE.SAFE,2019-01-18T03:50:40
nc-0003-00-000003,nc-0003-00-000003.jpg,images/nc-0003-00-000003.jpg,nc,0,coast,,0,640,640,S1_20190119_034258_034438_VV_67,S1A_IW_GRDH_1SDV_20190119T034323_20190119T034348_025541_02D53C_8F34.SAFE,2019-01-19T03:42:58
nc-0004-00-000004,nc-0004-00-000004.jpg,images/nc-0004-00-000004.jpg,nc,0,coast,,0,640,640,S1_20190124_035117_035258_VV_16,S1A_IW_GRDH_1SDV_20190124T035232_20190124T035258_025614_02D7E5_9158.SAFE,2019-01-24T03:51:17
nc-0005-00-000005,nc-0005-00-000005.jpg,images/nc-0005-00-000005.jpg,nc,0,coast,,0,640,640,S1_20190131_034257_034437_VV_10,S1A_IW_GRDH_1SDV_20190131T034257_20190131T034322_025716_02DBA1_AA0C.SAFE,2019-01-31T03:42:57
nc-0006-00-000006,nc-0006-00-000006.jpg,images/nc-0006-00-000006.jpg,nc,0,coast,,0,640,640,S1_20190206_034234_034349_VV_2,S1B_IW_GRDH_1SDV_20190206T034234_20190206T034259_014820_01BA76_DF73.SAFE,2019-02-06T03:42:34
nc-0007-00-000007,nc-0007-00-000007.jpg,images/nc-0007-00-000007.jpg,nc,0,coast,,0,640,640,S1_20190206_034234_034349_VV_31,S1B_IW_GRDH_1SDV_20190206T034259_20190206T034324_014820_01BA76_B371.SAFE,2019-02-06T03:42:34
nc-0008-00-000008,nc-0008-00-000008.jpg,images/nc-0008-00-000008.jpg,nc,0,coast,,0,640,640,S1_20190210_035926_040106_VV_61,S1A_IW_GRDH_1SDV_20190210T040041_20190210T040106_025862_02E0DD_EBDC.SAFE,2019-02-10T03:59:26
nc-0009-00-000009,nc-0009-00-000009.jpg,images/nc-0009-00-000009.jpg,nc,0,coast,,0,640,640,S1_20190216_035850_040029_VV_87,S1B_IW_GRDH_1SDV_20190216T035940_20190216T040005_014966_01BF36_8C52.SAFE,2019-02-16T03:58:50
nc-0010-00-000010,nc-0010-00-000010.jpg,images/nc-0010-00-000010.jpg,nc,0,coast,,0,640,640,S1_20190222_154745_154925_VV_230,S1B_IW_GRDH_1SDV_20190222T154900_20190222T154925_015061_01C24C_2830.SAFE,2019-02-22T15:47:45
nc-0011-00-000011,nc-0011-00-000011.jpg,images/nc-0011-00-000011.jpg,nc,0,coast,,0,640,640,S1_20190223_035040_035219_VV_255,S1B_IW_GRDH_1SDV_20190223T035130_20190223T035155_015068_01C287_0DC8.SAFE,2019-02-23T03:50:40
nc-0012-00-000012,nc-0012-00-000012.jpg,images/nc-0012-00-000012.jpg,nc,0,coast,,0,640,640,S1_20190224_034257_034437_VV_102,S1A_IW_GRDH_1SDV_20190224T034322_20190224T034347_026066_02E816_1321.SAFE,2019-02-24T03:42:57
nc-0013-00-000013,nc-0013-00-000013.jpg,images/nc-0013-00-000013.jpg,nc,0,coast,,0,640,640,S1_20190307_035039_035218_VV_93,S1B_IW_GRDH_1SDV_20190307T035129_20190307T035154_015243_01C850_97F9.SAFE,2019-03-07T03:50:39
nc-0014-00-000014,nc-0014-00-000014.jpg,images/nc-0014-00-000014.jpg,nc,0,coast,,0,640,640,S1_20190308_034257_034437_VV_115,S1A_IW_GRDH_1SDV_20190308T034412_20190308T034437_026241_02EE61_2777.SAFE,2019-03-08T03:42:57
nc-0015-00-000015,nc-0015-00-000015.jpg,images/nc-0015-00-000015.jpg,nc,0,coast,,0,640,640,S1_20190309_033408_033548_VV_41,S1B_IW_GRDH_1SDV_20190309T033433_20190309T033458_015272_01C939_A199.SAFE;S1B_IW_GRDH_1SDV_20190309T033408_20190309T033433_015272_01C939_E524.SAFE,2019-03-09T03:34:08
nc-0016-00-000016,nc-0016-00-000016.jpg,images/nc-0016-00-000016.jpg,nc,0,coast,,0,640,640,S1_20190319_035039_035218_VV_27,S1B_IW_GRDH_1SDV_20190319T035039_20190319T035104_015418_01CDFB_172B.SAFE,2019-03-19T03:50:39
nc-0017-00-000017,nc-0017-00-000017.jpg,images/nc-0017-00-000017.jpg,nc,0,coast,,0,640,640,S1_20190320_034257_034437_VV_129,S1A_IW_GRDH_1SDV_20190320T034412_20190320T034437_026416_02F4D4_1A96.SAFE,2019-03-20T03:42:57
nc-0018-00-000018,nc-0018-00-000018.jpg,images/nc-0018-00-000018.jpg,nc,0,coast,,0,640,640,S1_20190321_033408_033548_VV_9,S1B_IW_GRDH_1SDV_20190321T033408_20190321T033433_015447_01CEE6_0635.SAFE,2019-03-21T03:34:08
nc-0019-00-000019,nc-0019-00-000019.jpg,images/nc-0019-00-000019.jpg,nc,0,coast,,0,640,640,S1_20190331_154007_154147_VV_109,S1A_IW_GRDH_1SDV_20190331T154007_20190331T154032_026584_02FB04_8FAA.SAFE,2019-03-31T15:40:07
nc-0020-00-000020,nc-0020-00-000020.jpg,images/nc-0020-00-000020.jpg,nc,0,coast,,0,640,640,S1_20190402_033408_033548_VV_13,S1B_IW_GRDH_1SDV_20190402T033408_20190402T033433_015622_01D4A4_0016.SAFE,2019-04-02T03:34:08
nc-0021-00-000021,nc-0021-00-000021.jpg,images/nc-0021-00-000021.jpg,nc,0,coast,,0,640,640,S1_20190402_033408_033548_VV_16,S1B_IW_GRDH_1SDV_20190402T033408_20190402T033433_015622_01D4A4_0016.SAFE,2019-04-02T03:34:08
nc-0022-00-000022,nc-0022-00-000022.jpg,images/nc-0022-00-000022.jpg,nc,0,coast,,0,640,640,S1_20190407_034234_034349_VV_109,S1B_IW_GRDH_1SDV_20190407T034324_20190407T034349_015695_01D728_35B4.SAFE,2019-04-07T03:42:34
nc-0023-00-000023,nc-0023-00-000023.jpg,images/nc-0023-00-000023.jpg,nc,0,coast,,0,640,640,S1_20190413_034257_034437_VV_36,S1A_IW_GRDH_1SDV_20190413T034257_20190413T034322_026766_0301B4_A807.SAFE,2019-04-13T03:42:57
nc-0024-00-000024,nc-0024-00-000024.jpg,images/nc-0024-00-000024.jpg,nc,0,coast,,0,640,640,S1_20190424_035041_035220_VV_105,S1B_IW_GRDH_1SDV_20190424T035156_20190424T035220_015943_01DF52_F8F9.SAFE,2019-04-24T03:50:41
nc-0025-00-000025,nc-0025-00-000025.jpg,images/nc-0025-00-000025.jpg,nc,0,coast,,0,640,640,S1_20190429_154837_155017_VV_177,S1A_IW_GRDH_1SDV_20190429T154952_20190429T155017_027007_030A73_3AD5.SAFE,2019-04-29T15:48:37
nc-0026-00-000026,nc-0026-00-000026.jpg,images/nc-0026-00-000026.jpg,nc,0,coast,,0,640,640,S1_20190429_154837_155017_VV_195,S1A_IW_GRDH_1SDV_20190429T154837_20190429T154902_027007_030A73_8C50.SAFE,2019-04-29T15:48:37
nc-0027-00-000027,nc-0027-00-000027.jpg,images/nc-0027-00-000027.jpg,nc,0,coast,,0,640,640,S1_20190523_035852_040031_VV_33,S1B_IW_GRDH_1SDV_20190523T035942_20190523T040007_016366_01ECE8_9951.SAFE,2019-05-23T03:58:52
nc-0028-00-000028,nc-0028-00-000028.jpg,images/nc-0028-00-000028.jpg,nc,0,coast,,0,640,640,S1_20190524_035119_035300_VV_13,S1A_IW_GRDH_1SDV_20190524T035119_20190524T035144_027364_031625_69C6.SAFE,2019-05-24T03:51:19
