patch_id,source_scene,split
ow-0001,S1B_IW_GRDH_1SDV_20190101T034300_20190101T034325_014295_01A97E_39B8.SAFE,train
ow-0002,S1A_IW_GRDH_1SDV_20190104T155703_20190104T155728_025330_02CD9D_BBAA.SAFE,train
ow-0003,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,train
ow-0004,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,train
ow-0005,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,train
ow-0006,S1A_IW_GRDH_1SDV_20190111T154901_20190111T154926_025432_02D14A_4A63.SAFE,train
ow-0007,S1A_IW_GRDH_1SDV_20190112T035232_20190112T035259_025439_02D183_0BB2.SAFE;S1A_IW_GRDH_1SDV_20190112T035207_20190112T035232_025439_02D183_4040.SAFE,train
ow-0008,S1B_IW_GRDH_1SDV_20190112T154033_20190112T154058_014463_01AEE6_B38F.SAFE,train
ow-0011,S1B_IW_GRDH_1SDV_20190122T155610_20190122T155635_014609_01B38B_28CE.SAFE,train
ow-0012,S1B_IW_GRDH_1SDV_20190122T155610_20190122T155635_014609_01B38B_28CE.SAFE,train
ow-0013,S1B_IW_GRDH_1SDV_20190122T155610_20190122T155635_014609_01B38B_28CE.SAFE,train
ow-0014,S1B_IW_GRDH_1SDV_20190122T155610_20190122T155635_014609_01B38B_28CE.SAFE,train
ow-0015,S1B_IW_GRDH_1SDV_20190122T155641_20190122T155710_014609_01B38C_DBD6.SAFE,train
ow-0016,S1B_IW_GRDH_1SDV_20190122T155641_20190122T155710_014609_01B38C_DBD6.SAFE,train
ow-0017,S1B_IW_GRDH_1SDV_20190122T155641_20190122T155710_014609_01B38C_DBD6.SAFE,train
ow-0018,S1B_IW_GRDH_1SDV_20190122T155641_20190122T155710_014609_01B38C_DBD6.SAFE,train
ow-0021,S1B_IW_GRDH_1SDV_20190123T035915_20190123T035940_014616_01B3CB_38CE.SAFE,train
